minimPerim   maximPerim   deviatiePerim    mediePerim   minimArie   maximArie   deviatieArie    medieArie  tip 
2.000000     3829.491544     137.704978     34.728896     0.500000     469508.500000     16444.792175     649.984029          a
2.000000     4105.481439     150.627787     35.599780     0.500000     467145.500000     16725.499720     676.432606          a
2.000000     3681.952438     138.557399     35.300443     2.000000     467499.500000     16980.645145     702.715984          a
2.000000     3626.371706     126.243950     29.597269     2.000000     470654.000000     16048.124391     602.646100          a
5.656854     3817.650923     134.607510     29.958698     2.000000     467584.000000     16047.966160     614.558962          a
5.656854     3392.874231     122.090798     28.188011     2.000000     471858.500000     16458.962646     636.022533          a
9.071068     3632.094574     133.842918     33.707891     5.500000     466936.500000     16551.541804     669.369811          a
5.656854     3809.307778     137.939898     32.944372     2.000000     469143.000000     16515.841604     658.318238          a
5.656854     3930.243850     141.875880     31.275415     2.000000     469475.000000     16517.014073     650.073110          a
5.656854     3547.685415     123.480798     26.954272     2.000000     469265.000000     16001.430201     594.252037          a
5.414214     4769.443982     159.135368     39.900522     0.500000     461077.000000     14423.317041     550.782566          a
2.000000     3630.087434     130.072753     29.492257     470518.000000     470518.000000     16362.586991     634.476998          a
7.656854     3675.241762     130.402268     27.908869     4.000000     470386.500000     16279.566113     622.318945          a
33.313708     3799.734183     133.002923     27.626725     43.000000     462801.000000     15911.568842     596.191124          a
5.656854     4819.093696     308.610552     65.768927     2.000000     449450.500000     28310.576590     1998.910359          a
5.656854     4111.197169     266.593324     60.101569     2.000000     457531.500000     28651.529776     2003.169291          a
5.656854     4187.398177     270.348867     62.227536     2.000000     457594.500000     28880.931278     2035.162000          a
2.828427     18349.018354     456.473226     38.440056     15.500000     284043.500000     6920.782348     255.356473          a
2.828427     7533.128849     248.444138     33.232571     0.500000     96944.500000     3256.400711     209.606501          a
2.828427     8298.020324     278.773876     34.028829     0.500000     93207.500000     3070.600487     197.592789          a
23.071068     23535.556034     513.751824     31.518677     5.500000     357220.000000     7760.441723     217.835926          a
5.414214     4170.375877     140.546654     36.673158     1.500000     466338.000000     14280.537496     528.065666          a
6.000000     9984.267143     295.736190     33.893421     2.000000     172484.000000     4303.664946     206.880829          a
2.000000     5789.356002     240.071451     34.440459     7.000000     92381.500000     2971.103037     202.590664          a
2.000000     18522.851838     391.796385     29.166078     382493.500000     382493.500000     7997.131076     215.545216          a
2.000000     14118.519346     341.915681     31.550176     2.000000     281494.000000     6328.870011     223.740485          a
2.828427     14936.339756     362.178733     32.915313     17.500000     222455.500000     5155.697289     207.192619          a
4.000000     10855.203215     248.583758     27.640000     1.000000     425752.000000     8591.526039     232.278319          a
12.828427     17501.592830     390.002728     31.167622     2.000000     373643.500000     8151.388487     249.595825          a
17.414214     17744.227386     411.857535     32.356391     5.500000     337127.000000     7643.901614     249.140921          a
5.656854     16244.763193     341.231314     28.358384     0.500000     397454.000000     8025.924899     216.876169          a
2.000000     18645.815259     422.775881     31.976516     0.500000     364873.000000     8051.190035     249.098015          a
2.000000     5493.600397     202.052696     42.165390     36.000000     438019.000000     15174.032511     637.881753          a
6.242641     16232.912469     389.094061     33.172581     0.500000     334107.500000     7674.001279     258.772228          a
2.000000     7178.971223     187.908629     32.761332     1.000000     447442.000000     11101.107458     343.375924          a
2.000000     7416.233195     219.271622     37.846869     412172.500000     412172.500000     11209.428724     396.570214          a
2.000000     11519.595127     331.749782     40.696607     414874.000000     414874.000000     11681.558224     416.997224          a
5.656854     11874.045918     365.113616     44.568897     426593.000000     426593.000000     12636.395037     481.365789          a
2.000000     9669.922786     283.625372     40.302410     2.000000     440164.500000     12227.308079     430.644290          a
5.414214     7484.926630     202.798279     33.871984     4.000000     435258.000000     11248.160288     364.339119          a
2.000000     11545.938276     339.122587     41.879500     429.000000     423092.000000     12087.865316     439.390612          a
2.828427     10947.799103     316.510991     40.136399     2.000000     424659.500000     11961.554736     422.555159          a
5.656854     10655.507691     313.896999     41.279680     2.000000     429091.000000     12219.239642     442.999189          a
5.656854     6036.134447     191.109059     34.547370     2.000000     446002.000000     13970.534209     506.814342          a
10.828427     7688.293284     327.201301     49.441171     4.000000     133196.000000     4944.608160     387.563126          a
0.000000     15227.515498     490.692583     49.229239     0.000000     264409.500000     8409.751230     424.799702          a
2.000000     15702.943989     508.665748     51.532525     6.500000     271822.000000     8652.302642     428.209581          a
2.000000     10001.068217     394.910250     51.004145     3.000000     157858.500000     5754.008334     388.183796          a
7.656854     10931.106884     383.147088     49.055438     4.500000     152688.500000     5271.156711     390.153640          a
4.828427     8838.221337     330.404282     47.323995     1.000000     119985.500000     4569.250197     387.850147          a
31.313708     6025.564154     307.140263     48.209863     44.000000     91289.500000     4585.611890     375.181904          a
2.000000     13109.298998     456.585316     55.991543     3.000000     167621.000000     5749.823049     397.552525          a
2.000000     13385.031970     326.509025     35.417362     2.500000     360999.500000     8523.010595     282.712660          a
2.000000     6077.663445     183.749302     40.219218     11.000000     459070.000000     13207.868888     468.797432          a
5.656854     5520.044048     174.189508     36.294597     2.000000     454664.500000     13918.708456     503.252814          a
8.000000     11586.465188     307.822142     36.504081     391552.500000     391552.500000     9889.030279     339.268254          a
2.000000     13758.750667     333.179009     33.348959     0.500000     368252.000000     8824.928107     274.207065          a
60.284271     9783.652799     244.986885     32.937077     54.000000     417523.500000     9991.359171     316.966838          a
4.000000     5289.399385     167.740022     35.047219     2.000000     452172.000000     13750.271336     500.276596          a
16.242641     4321.044927     141.650152     37.231000     13.500000     467849.500000     14431.756357     537.713810          a
2.000000     4050.729130     129.065025     30.021133     2.000000     468480.000000     14498.788427     509.476989          a
5.414214     8476.948048     287.377648     47.626320     0.500000     421114.500000     13926.623573     581.986871          a
2.000000     5099.711008     345.868306     57.431371     477765.500000     477765.500000     30459.462823     2152.707317          b
3643.526033     3643.526033     213.084732     37.074717     467276.500000     467276.500000     26537.213373     1561.622977          b
5.656854     5934.744618     385.379398     54.049287     2.000000     440195.500000     28351.782013     1900.883333          b
5.656854     6581.202550     445.875077     59.162137     2.000000     444019.000000     29932.183583     2085.513699          b
2.000000     5055.128188     326.097774     48.683602     2.000000     459141.500000     29450.563319     1956.663223          b
4.000000     6567.504068     394.239385     49.778733     2.000000     446103.500000     26704.799387     1653.491007          b
5.656854     5460.130275     313.656112     40.253692     2.000000     451034.000000     25739.700376     1519.823529          b
4460.025596     4460.025596     249.308686     34.075267     462509.500000     462509.500000     25575.118293     1458.579755          b
5.656854     4804.902793     281.081538     38.727232     2.000000     466593.500000     27163.990163     1624.346939          b
5.656854     5301.350618     333.561793     45.174580     2.000000     461062.000000     28927.024633     1863.134387          b
5.656854     5796.789216     264.215636     33.369963     448460.500000     448460.500000     19840.270225     934.824510          b
5.656854     5989.489787     371.987074     52.231930     2.000000     441456.500000     27166.737938     1747.401141          b
61.213203     6373.347651     284.669682     33.327410     177.000000     450435.500000     19567.128161     901.335539          b
5.656854     6245.923331     219.891639     28.089386     2.000000     453088.000000     15212.318249     565.578918          b
4.000000     7804.936734     244.560058     25.863557     2.000000     445695.000000     13780.042348     469.581262          b
4.000000     7488.510329     217.843411     24.920763     22.500000     436488.000000     12496.847428     393.527482          b
2.828427     4381.748463     194.803036     27.712217     1.500000     466044.000000     18457.873421     782.979592          b
2.000000     4630.199255     211.607248     30.089376     2.000000     464451.000000     19015.941014     837.849832          b
2.000000     7133.209694     314.651318     32.420119     0.000000     446303.500000     19627.355040     894.750000          b
4376.483525     4376.483525     186.913162     28.106217     454648.000000     454648.000000     17931.906008     760.420561          b
4.000000     6193.254289     233.301428     26.645249     1.000000     448598.500000     16683.549908     658.545014          b
2.000000     6963.486823     264.124694     30.883234     1.500000     428499.000000     16036.512632     647.741234          b
4.000000     6686.315247     442.978662     57.912746     4.500000     450113.000000     29740.905700     2036.739035          b
5.656854     8234.118414     312.542988     31.013424     2.000000     414683.000000     15673.302334     630.202432          b
2.000000     4513.960790     186.671437     29.197053     0.500000     319316.500000     12243.472641     610.866760          b
6.828427     6140.700024     242.449609     27.203248     2.000000     318752.500000     12487.298519     600.209957          b
2.000000     5073.943544     195.231837     26.166979     2.000000     295891.000000     11202.687409     543.605806          b
2.000000     6138.217709     210.667692     26.221173     2.000000     438677.000000     14898.036110     543.121247          b
5.656854     6264.786251     201.435685     26.034840     2.000000     439131.000000     13956.334787     481.341254          b
