minimPerim   maximPerim   deviatiePerim    mediePerim   minimArie   maximArie   deviatieArie    medieArie  tip 
5.656854     3893.131154     135.618768     34.916128     1.500000     469140.000000     15922.356667     616.416955          a
2.000000     4184.937281     150.139981     36.465728     2.000000     466683.500000     16366.345952     654.996921          a
5.656854     3781.793058     140.543542     36.670925     2.000000     467075.000000     16756.554909     691.251933          a
2.000000     3682.655975     123.993797     30.134404     2.000000     470336.000000     15513.952886     569.705338          a
5.656854     3847.106766     135.026239     31.961733     2.000000     467235.000000     15960.926628     614.415888          a
5.656854     3560.454966     127.908023     30.717417     2.000000     471294.000000     16489.417165     644.819853          a
5.656854     3758.663116     136.872178     35.381394     2.000000     466418.500000     16379.604086     662.522222          a
5.656854     4036.528121     142.921153     33.982158     2.000000     468020.000000     16139.924390     635.645238          a
5.656854     3985.013402     144.569855     33.913717     2.000000     469092.000000     16585.773387     662.424906          a
2.000000     3589.727043     123.499470     29.009052     1.500000     468913.500000     15851.715752     589.867277          a
3.414214     4800.639939     165.379381     42.585280     0.500000     458031.000000     14486.793240     569.805305          a
5.656854     3667.886424     131.283479     31.785404     2.000000     470259.000000     16343.653336     639.516324          a
5.656854     3798.780866     135.590942     30.782250     2.000000     469671.500000     16412.728056     639.113081          a
9.071068     3898.486490     136.109170     29.969131     5.000000     462360.500000     15905.721446     601.792654          a
3.414214     4946.088647     301.814404     61.812306     0.500000     448646.500000     26859.600569     1810.924460          a
5.656854     4209.523069     276.040613     63.668149     2.000000     456870.000000     28894.818526     2049.937751          a
3.414214     4262.937284     264.337986     59.205150     0.500000     456870.500000     27600.159814     1869.584249          a
8.000000     17510.234522     436.343191     37.658023     4.000000     214443.500000     5154.685517     208.371340          a
2.000000     6375.869843     214.097908     29.805951     3.500000     71411.000000     2207.984893     154.253006          a
2.000000     6412.739899     234.741122     31.058651     2.500000     55418.500000     1959.986734     143.472700          a
4.000000     22053.836128     467.259666     30.201067     1.000000     276201.000000     5747.819408     174.712232          a
3.414214     4463.637851     155.480459     40.752736     1.000000     465079.500000     14668.280956     565.824378          a
2.000000     9520.987927     257.545903     31.720179     4.000000     157593.000000     3571.272133     171.207529          a
10.828427     6289.110398     215.684160     31.499245     5.000000     87467.500000     2413.582548     162.397930          a
16.242641     24278.991667     496.802443     29.460599     9.500000     345634.000000     7028.689419     188.041718          a
2.000000     12864.480677     327.126408     31.937124     1.000000     229143.000000     5124.169194     201.699036          a
2.000000     13337.080744     325.239742     31.682615     1.000000     177697.500000     4026.741281     177.639360          a
4.000000     23094.325589     462.990274     28.536168     362759.000000     362759.000000     7193.382738     190.581993          a
4.000000     8292.148182     259.867812     29.977840     2.000000     124916.000000     3958.837289     213.697088          a
12.828427     6735.235287     246.423682     29.828594     2.000000     108652.500000     3505.834895     202.343849          a
3.414214     20364.389186     409.602418     28.468274     0.500000     320174.500000     6298.678722     177.016359          a
3.414214     8684.706619     266.971951     30.059286     0.500000     117688.500000     3183.755996     180.265916          a
2.000000     5962.460348     216.161846     43.114826     26.500000     433284.500000     14852.103034     623.044653          a
3.414214     6229.429157     228.160126     30.323177     0.500000     108652.500000     3047.460342     187.354358          a
10.000000     7854.808878     207.486174     35.241056     0.000000     442518.000000     11096.218731     352.883962          a
7857.720569     7857.720569     238.528165     40.706895     408462.000000     408462.000000     11285.389788     411.205568          a
12540.694758     12540.694758     368.935464     43.803344     408240.500000     408240.500000     11707.328304     432.336760          a
5.414214     12057.852050     374.198729     46.243469     56.500000     420799.500000     12462.706763     485.242331          a
