minimPerim   maximPerim   deviatiePerim    mediePerim   minimArie   maximArie   deviatieArie    medieArie  tip 
2.000000     19195.054052     514.176868     45.275894     1.500000     160463.000000     4204.201515     199.985865          a
2.000000     11337.699808     329.544079     45.005615     26.000000     227193.500000     5836.677206     271.012484          a
30.142135     16365.134896     431.353072     43.451851     56.000000     222668.000000     5650.642459     239.921835          a
2.000000     22034.473648     546.756810     43.683881     0.500000     271790.000000     6593.086763     248.130925          a
2.000000     20654.011548     508.769112     41.937168     117.500000     285327.500000     6862.145437     246.622566          a
2.000000     18115.871164     446.208481     40.754630     0.000000     360611.500000     8450.483559     300.560270          a
20.242641     13378.016813     378.346242     42.806601     11.500000     195794.500000     5007.641835     227.026299          a
2.000000     20119.678504     521.593952     44.124703     2.000000     213743.500000     5406.934643     222.699501          a
2.000000     17546.477163     444.798169     42.134344     19.000000     282935.000000     6875.132596     261.684928          a
2.000000     16625.938936     412.989247     43.582186     6.000000     340153.000000     8031.365386     289.530094          a
2.000000     5073.549871     157.840499     35.948349     5.500000     19662.000000     577.159778     83.947305          a
22764.345795     22764.345795     548.382729     40.518529     286510.000000     286510.000000     6785.116557     241.408765          a
3.414214     18718.422463     457.361307     40.804859     0.500000     342445.000000     7969.296653     279.595898          a
2.000000     29319.362824     680.747808     41.437265     7.500000     275074.500000     6346.722793     206.820844          a
10.000000     14210.533615     446.646928     45.219366     0.000000     312488.000000     9565.781897     398.550887          a
85.455844     16375.997814     514.309997     47.039641     264.000000     311758.000000     9622.911745     407.291746          a
2.000000     13060.598422     408.546755     45.373046     0.000000     346714.000000     10459.703596     426.261343          a
4.828427     197.965510     17.179772     14.307321     1.000000     341.000000     25.905479     13.570344          a
2.000000     144.610172     14.248932     12.749963     12.500000     185.500000     17.811168     10.341817          a
0.000000     144.610172     13.687089     12.386622     0.000000     185.500000     16.956326     9.789106          a
2.000000     195.379723     18.897858     14.872144     11.000000     342.500000     29.215698     14.373612          a
16.828427     5148.076782     174.282215     36.275634     1.000000     19664.500000     636.041136     86.904636          a
2.000000     136.367531     15.160117     13.668708     16.000000     212.000000     20.061850     11.763680          a
2.000000     146.024385     14.464662     13.124204     25.000000     214.500000     19.031672     10.859948          a
4.828427     186.551296     19.197939     15.482666     1.000000     375.500000     29.987067     15.345915          a
0.000000     157.923880     16.154268     13.614793     0.000000     295.000000     22.627661     12.164171          a
2.000000     111.154328     13.322128     12.493709     8.000000     216.500000     17.536887     10.546033          a
0.000000     590.925967     24.041930     14.796834     0.000000     1995.000000     57.611909     15.586777          a
2.000000     191.480228     13.759365     11.912815     3.000000     352.000000     17.529482     9.418968          a
2.828427     89.497474     11.800809     11.059590     1.000000     110.500000     13.534469     8.316367          a
12.828427     589.754394     24.131204     14.648912     8.000000     1994.000000     58.295603     15.350425          a
6.000000     192.066015     13.517504     11.628063     2.000000     348.500000     17.184855     9.071740          a
4.000000     3423.499892     173.659671     34.507916     2.500000     16509.500000     697.651572     89.312387          a
3.414214     85.154328     11.473410     10.795295     6.000000     110.500000     13.312364     8.125339          a
2.000000     2027.287567     119.158704     39.999575     22.500000     8655.000000     493.381499     100.811203          a
2.000000     1997.973859     116.068850     39.623441     6.500000     8636.000000     502.548198     105.444985          a
2.000000     1995.145432     112.558771     39.540881     179.000000     8626.000000     495.540049     104.477432          a
2.000000     1295.893564     109.499466     39.861519     5.500000     5125.000000     408.471273     100.117409          a
4.000000     2438.005385     120.342932     39.261811     1.000000     20536.500000     759.802032     119.990232          a
5.414214     2436.005385     119.952136     40.505785     0.500000     20540.500000     834.916059     132.494341          a
15.071068     2072.317006     115.741239     39.985509     12.000000     9255.000000     514.674541     108.669095          a
13.656854     1967.831724     115.418537     39.527114     10.000000     8626.000000     504.647792     106.312500          a
2.000000     1312.278340     105.728376     38.954732     1.500000     8574.000000     463.405292     103.937071          a
5.414214     5227.633131     188.421888     36.603468     1.500000     21974.500000     822.522813     97.555800          a
2.000000     146.568542     15.105922     12.722122     2.000000     525.000000     35.344113     12.894426          a
2.000000     219.622364     22.400039     15.386632     1.000000     608.000000     52.682860     18.134788          a
6.000000     294.291411     30.048109     18.240553     2.000000     970.000000     75.009642     24.120690          a
7.414214     301.705624     33.396210     20.477479     1.000000     970.500000     81.763305     28.527142          a
2.000000     224.793937     21.839043     14.611468     0.000000     593.000000     51.661603     17.295918          a
0.000000     226.208150     27.333684     18.471619     0.000000     806.500000     73.275202     25.816667          a
12.242641     349.646749     35.002375     21.151680     6.500000     973.000000     87.412518     31.160991          a
7.414214     295.563489     33.578868     21.323692     10.500000     955.000000     85.449162     30.889364          a
4.828427     414.132030     25.741399     16.951500     1.000000     729.000000     44.009646     17.793033          a
4.000000     512.457931     28.416876     19.576159     6.000000     1101.000000     55.784053     22.688304          a
2.000000     5266.302178     178.239444     36.221630     1.000000     19970.500000     643.140169     87.102006          a
2.000000     188.752307     19.756723     14.834969     0.500000     554.500000     29.995324     12.759094          a
2.000000     239.521858     21.000281     15.260019     0.500000     543.500000     31.092662     13.033007          a
2.000000     330.776691     23.117887     15.857062     0.000000     793.500000     39.716305     14.211550          a
2.000000     3773.129395     150.889376     34.953149     1.500000     12404.000000     567.460203     83.500826          a
4.000000     5330.243302     166.620444     36.471783     22.000000     20086.500000     608.267542     87.739510          a
2.000000     16093.235399     409.843297     42.352809     3.500000     237728.500000     5740.864165     234.833714          a
2.000000     3142.078538     130.014802     33.742244     6.500000     12031.500000     460.868201     76.918975          a
2.000000     8407.177617     383.215720     42.856883     6.500000     197343.500000     9513.763546     546.138399          b
2.000000     14289.732540     394.930032     38.347431     1.500000     368378.500000     9998.234900     344.305658          b
4.000000     9065.510662     341.895743     45.133305     6.500000     286991.500000     10295.644820     537.595679          b
5.656854     9463.191898     319.399333     40.401510     2.000000     300860.500000     9626.300796     426.476214          b
2.000000     15023.254404     427.166239     37.454332     54.000000     367640.000000     10276.747652     349.111719          b
5.656854     9777.899608     300.609682     37.543130     2.000000     303331.000000     8896.157360     369.295833          b
18.242641     13402.809542     393.967184     36.473564     16.500000     383783.000000     11123.489334     380.258403          b
5.414214     10053.202003     304.613272     38.050052     1.500000     423643.500000     11808.151076     405.326222          b
5.656854     14417.389395     399.605003     37.856418     3.500000     387739.500000     10619.496155     354.272318          b
5.656854     13112.147632     374.292705     38.443667     2.000000     373711.000000     10511.706367     370.747435          b
5.414214     2846.220674     112.578672     23.901910     1.500000     16950.500000     482.843597     48.024681          b
899.168608     6944.798773     273.306233     38.505891     18480.500000     234007.000000     8419.583718     442.354754          b
2.828427     4047.327441     121.253978     22.451747     1.000000     23268.500000     564.239215     48.874511          b
2.000000     3559.898949     127.795032     21.736918     0.000000     21190.500000     731.880786     57.946603          b
17.656854     3793.195412     118.753545     23.440651     7.500000     22730.500000     580.969879     54.437120          b
2.000000     3164.002419     94.868807     25.131616     18874.000000     18874.000000     462.192916     54.577701          b
2.000000     4418.974190     123.084648     22.749479     0.000000     17360.000000     486.252129     47.139861          b
4.000000     4381.660481     132.569989     22.532537     18.500000     24226.500000     565.140441     49.006069          b
6.828427     4363.435086     134.124883     24.179361     1.000000     20350.500000     579.399383     53.378096          b
38.384776     4346.689919     136.346971     22.338776     18.500000     24113.500000     726.307859     56.358860          b
2.000000     4394.246268     126.060617     22.312823     633.500000     20370.500000     510.125445     46.656992          b
2.000000     776.908722     63.622670     31.746788     0.000000     2791.500000     177.537746     59.118210          b
4.000000     9245.181792     297.921783     39.620565     1.000000     302869.500000     9399.029221     411.609506          b
10.828427     992.430580     66.091619     30.309577     1.000000     4873.000000     209.944151     59.423099          b
2.000000     1008.915862     62.119681     28.974330     0.000000     4856.000000     191.048419     53.291909          b
2.000000     803.293498     62.740359     29.564726     0.000000     3010.000000     168.900071     52.070161          b
3.414214     851.234623     64.549223     30.259591     0.500000     2627.000000     171.995102     52.622063          b
2.000000     888.246816     62.938431     30.052984     2.000000     2775.500000     168.177138     54.062534          b
