minimPerim   maximPerim   deviatiePerim    mediePerim   minimArie   maximArie   deviatieArie    medieArie  tip 
5.656854     3901.248903     130.172414     27.313585     2.000000     470495.000000     15280.215540     548.567054          a
3940.746376     3940.746376     126.991807     25.582229     468880.500000     468880.500000     14609.149651     501.164723          a
2.000000     3574.513841     112.461811     23.544959     468912.000000     468912.000000     14062.211156     468.465347          a
5.656854     3318.322935     102.644743     21.137038     2.000000     471981.000000     14134.306353     456.141382          a
5.656854     3671.342268     106.272384     19.274140     2.000000     468968.000000     12962.595008     388.924694          a
5.656854     3380.305691     98.070964     17.699772     2.000000     472690.500000     13136.203667     393.493045          a
3793.633678     3793.633678     120.400592     23.580553     469199.500000     469199.500000     14278.932713     485.347544          a
3447.862040     3447.862040     113.396207     24.248956     470548.000000     470548.000000     14771.063968     514.825444          a
8.828427     3636.437721     110.951604     20.637834     4.000000     471204.500000     13776.568847     439.381523          a
2.000000     3439.418388     98.540677     17.370264     2.000000     470722.500000     13100.693372     385.976357          a
2.000000     4703.762742     124.258203     25.288318     2.000000     462849.000000     11532.319005     339.420497          a
2.000000     3546.045805     105.547638     19.322730     471469.500000     471469.500000     13427.640827     414.562500          a
5.656854     3464.205185     102.452804     18.177152     2.000000     472202.000000     13410.512479     409.912026          a
9.414214     3661.124012     106.489419     17.998336     3.500000     467643.500000     13159.206104     395.832409          a
5.656854     3974.486489     223.993944     46.583038     2.000000     459886.500000     24728.488289     1497.088406          a
90.627417     4043.498682     199.291406     34.253234     332.000000     458618.000000     21623.357931     1122.967706          a
5.656854     3593.643783     203.223857     43.586906     2.000000     469330.500000     25091.672578     1499.448424          a
3.414214     13298.064376     348.876649     39.215823     0.500000     345670.000000     8823.678355     320.012912          a
3.414214     11262.645987     313.332875     35.412288     0.000000     227753.500000     5883.034803     269.246695          a
3.414214     13220.193441     372.384693     37.750628     6.000000     202100.500000     5515.545051     272.203655          a
6.828427     13582.113145     314.448752     30.955983     2.000000     407803.000000     9276.291539     267.724780          a
5.656854     3734.219466     98.608833     22.518195     0.500000     468637.000000     11088.962624     307.213886          a
2.000000     18827.569653     466.063874     36.301461     26.500000     330759.000000     8088.838489     271.799762          a
2.000000     10294.173778     353.429745     38.139290     2439.500000     157904.000000     5674.850475     291.231090          a
9.656854     10530.748248     238.771332     28.077019     7.000000     433605.000000     9555.966758     263.306459          a
2.000000     13773.471449     328.863933     31.729643     8.000000     417386.000000     9691.658747     288.700162          a
2.000000     15097.153899     378.821990     35.065084     38.500000     376566.500000     9163.821751     297.579834          a
2.828427     6213.670590     152.668757     27.022457     2.500000     454449.500000     9794.511973     271.755803          a
103.941125     12899.450033     315.195145     32.827726     153.000000     424587.500000     10072.026661     315.806071          a
4.828427     13762.632918     355.274361     35.660981     1.000000     406774.000000     10173.937627     341.341974          a
2.000000     9666.324807     220.136677     28.261564     2.000000     431934.500000     9342.808458     262.482702          a
2.828427     14462.563937     349.612540     33.085934     46.000000     411803.000000     9713.229613     303.586667          a
5.656854     5388.002418     161.437100     27.828597     2.000000     440229.000000     12504.530217     418.897094          a
3.414214     12696.677510     331.005944     35.889432     0.500000     401277.000000     10002.106330     340.163050          a
5.656854     6631.435084     189.662618     33.881903     5.500000     453828.500000     12435.177194     408.718633          a
2.000000     8745.367314     270.237352     40.439489     436238.000000     436238.000000     13153.536365     481.131938          a
6.000000     8838.462769     284.488109     43.542723     436906.500000     436906.500000     13589.568204     522.230881          a
5.656854     9554.224303     319.830790     47.268334     442116.000000     442116.000000     14295.257166     579.100418          a
2.000000     7712.777354     240.035347     41.349395     449758.500000     449758.500000     13476.226984     498.211590          a
5.656854     5377.798445     161.907790     34.834571     2.000000     443519.500000     12605.729814     438.815832          a
5.656854     8770.788669     281.760192     43.748904     456.000000     436320.000000     13570.634916     523.799129          a
4.828427     8775.391702     279.456007     42.227846     1.000000     442607.000000     13648.375350     516.146051          a
2.000000     6454.641149     215.890443     42.981528     2.500000     451605.500000     13980.119508     542.535954          a
59.112697     5347.652132     131.403935     20.628865     66.000000     452388.500000     10851.554304     294.042026          a
4.000000     13467.465516     501.258495     56.000068     6.000000     272393.000000     9460.465848     496.368824          a
2.000000     17064.663895     581.543706     54.514979     3.000000     338516.000000     11447.463668     522.974315          a
2.000000     16951.686191     568.128227     54.608139     0.500000     364519.500000     12084.111143     530.623491          a
2.000000     15626.912467     514.103022     54.803944     0.500000     367096.500000     11829.507601     512.526971          a
4.000000     10099.563604     383.200893     53.829938     9.000000     209803.500000     7502.528395     497.650181          a
3.414214     16230.333821     550.973996     51.867702     0.500000     286374.500000     9653.483772     479.053311          a
32.727922     9076.054813     382.716136     50.744292     51.500000     228882.500000     8314.674135     483.701672          a
3.414214     19867.941353     644.183151     55.746745     0.500000     349275.000000     11232.222886     480.667355          a
7.414214     10620.752424     263.644000     33.143987     2.500000     410006.000000     9785.115311     307.885731          a
10.828427     5138.421684     160.357285     37.377735     1.000000     466269.500000     13796.738234     484.963190          a
9.071068     4016.327108     102.378868     21.717172     5.500000     469533.000000     10946.000850     297.193207          a
2.000000     8835.180582     266.712041     41.370049     1.000000     417580.000000     12058.017931     461.691667          a
2.000000     9992.207056     284.852431     37.979042     1.000000     410905.500000     11502.108621     415.268417          a
2.000000     7649.086009     219.471195     36.228712     1.000000     439752.500000     12085.644682     429.472054          a
5.656854     5855.448157     145.504530     22.352800     2.000000     458617.000000     10981.805452     304.689507          a
5.656854     3635.248902     93.602838     22.128226     2.000000     472064.000000     11072.260959     304.070446          a
5.656854     4025.273286     114.692511     22.502489     469053.000000     469053.000000     12765.860538     386.196442          a
7129.314371     7129.314371     218.731736     37.004497     432781.000000     432781.000000     12799.171298     471.284777          a
2.000000     5137.125221     317.994357     46.454035     2.000000     478630.000000     27828.357168     1782.805743          b
106.627416     3264.607206     133.454590     18.903268     242.000000     468894.000000     18636.391309     758.553006          b
5.656854     5034.958700     254.119476     32.481164     0.500000     445459.000000     22161.047542     1141.606700          b
5.656854     6232.325352     318.904181     32.945554     2.000000     446816.000000     22682.510564     1182.611111          b
5.656854     4630.878406     201.563611     23.777565     2.000000     461950.500000     19915.369548     882.907821          b
2.000000     6488.859407     320.919772     34.217975     2.000000     448506.000000     22068.295393     1118.020631          b
2.000000     5150.892688     159.501364     16.455079     1.500000     461254.500000     14200.632506     449.246679          b
5.656854     3631.719905     119.218721     15.168196     2.000000     471001.000000     15345.817027     511.110521          b
3512.045804     3512.045804     142.110161     18.995575     472658.500000     472658.500000     18756.409907     763.112776          b
4697.169816     4697.169816     209.522365     22.596612     465317.000000     465317.000000     20603.904674     931.804519          b
4488.417510     4488.417510     230.029708     36.542905     456347.500000     456347.500000     22536.931587     1190.953545          b
7.656854     5734.837984     317.330575     40.382353     4.000000     443556.500000     24268.536102     1382.165165          b
5.656854     5328.497804     248.206933     33.343250     2.000000     457646.000000     20823.222311     1008.837137          b
7.414214     6007.933437     215.395381     26.643937     2.500000     455190.000000     15599.913821     583.567568          b
7468.361052     7468.361052     243.083555     25.078935     448781.500000     448781.500000     14398.723787     501.715757          b
