id/name    minimPerim   maximPerim   deviatiePerim    mediePerim   minimArie   maximArie   deviatieArie    medieArie  tip 
0    4.828427     469.203098     32.211912     19.232323     1.000000     1366.500000     90.229458     30.407670          a
1    3.414214     293.906634     26.930487     18.479419     0.500000     808.000000     70.580168     27.873813          a
2    3.414214     254.107645     25.344673     17.931159     0.500000     772.000000     63.021110     26.148825          a
3    2.000000     468.374671     32.370136     19.776066     27.500000     1372.500000     86.445267     30.610075          a
4    4.000000     254.936072     26.833300     18.479534     2.000000     771.000000     66.829776     27.670058          a
5    4.000000     224.308656     26.892560     18.662481     0.000000     906.500000     68.325032     28.043103          a
6    2.000000     251.036577     26.694207     18.127081     27.500000     801.500000     65.542821     26.558677          a
7    55.798989     601.813269     30.787161     18.083189     102.000000     1808.000000     78.240666     26.484069          a
8    3.414214     600.399055     30.177421     18.676441     0.500000     1807.500000     82.728068     28.886040          a
9    2.000000     383.989896     31.698025     20.625733     2.000000     889.000000     78.750039     32.465258          a
10    4.000000     249.379723     25.401090     16.609006     7.000000     674.500000     55.951053     21.393919          a
11    3.414214     601.813269     30.538726     18.679319     0.500000     1811.000000     82.081988     28.543370          a
12    5.656854     603.227482     31.248851     19.533478     2.000000     1807.500000     83.535129     30.300265          a
13    2.000000     601.227482     31.460387     19.605506     0.000000     1808.500000     83.891429     30.337019          a
14    5.656854     534.600066     37.732352     20.501144     0.000000     1974.500000     131.189327     39.480539          a
15    2.000000     344.291411     33.967049     20.750580     2.000000     1217.500000     111.037603     39.284115          a
16    2.000000     534.600066     39.707194     21.245540     0.000000     1974.500000     135.008943     41.412668          a
17    5.414214     115.639609     14.144620     12.596465     1.500000     220.500000     19.410491     11.348899          a
18    2.000000     103.740114     13.116288     11.865153     15.000000     133.500000     15.828928     9.541749          a
19    0.000000     103.740114     12.826069     11.712108     0.000000     135.000000     15.269308     9.252441          a
20    2.000000     155.681239     15.148037     13.013388     14.000000     221.500000     20.965901     11.666291          a
21    4.000000     372.333041     25.147525     15.692831     4.000000     798.000000     54.161028     20.128642          a
22    2.000000     154.509666     14.444006     12.823853     16.500000     205.500000     18.987375     11.121906          a
23    2.000000     103.740114     13.535745     12.474787     16.500000     205.500000     17.534388     10.358566          a
24    4.828427     119.296463     14.957197     12.904813     1.000000     337.500000     22.649626     12.187733          a
25    2.000000     155.095453     14.300465     12.659446     2.000000     338.000000     20.296901     11.131890          a
26    5.656854     155.095453     13.461434     12.220347     2.000000     205.500000     17.715552     10.333727          a
27    0.000000     119.882250     13.798040     12.223060     0.000000     338.000000     21.540066     10.911331          a
28    2.000000     87.497474     12.672615     11.686406     3.000000     123.500000     15.569595     9.139420          a
29    2.000000     87.497474     12.143877     11.136432     11.500000     123.500000     14.243932     8.333437          a
30    2.000000     113.396968     13.861198     12.512326     9.000000     243.500000     20.769820     11.064042          a
31    5.656854     94.325901     12.641943     11.627122     2.000000     147.500000     15.650568     9.018776          a
32    5.656854     202.409161     19.630636     14.170671     1.000000     612.000000     40.879739     15.708415          a
33    5.414214     86.426406     11.854394     10.964289     0.500000     123.500000     14.002775     8.188410          a
34    2.000000     288.735061     25.786034     18.035342     22.500000     798.000000     52.901470     23.188307          a
35    2.000000     423.404108     26.837146     17.156781     2.000000     1107.500000     59.588257     22.463509          a
36    2.000000     423.404108     26.714622     16.879685     187.500000     1107.500000     59.989970     22.098790          a
37    4.000000     423.989894     25.301179     17.280100     2.000000     1106.000000     57.687140     22.649145          a
38    2.000000     255.036578     22.757255     16.421450     1.000000     525.000000     50.038877     21.371785          a
39    5.656854     255.036578     23.487244     18.322923     1.000000     512.500000     48.755407     24.102972          a
40    2.000000     423.989895     25.054711     16.895995     2.000000     1110.000000     56.109622     21.983639          a
41    2.000000     422.818322     25.542599     16.980048     0.000000     1107.000000     55.382255     21.839578          a
42    2.000000     423.404108     25.136021     16.336814     2.000000     1107.500000     56.146255     20.818725          a
43    7.656854     205.882250     20.242707     14.714233     4.000000     612.500000     43.557011     17.206535          a
44    3.414214     168.509666     15.190901     12.153600     0.500000     490.000000     28.743722     11.424925          a
45    2.000000     205.480229     18.705954     13.068285     0.500000     703.500000     40.593472     13.602314          a
46    2.828427     207.480228     18.355135     13.469195     0.500000     670.000000     40.334101     14.076404          a
47    3.414214     237.178713     19.389201     14.727886     0.500000     670.000000     42.458890     15.663256          a
48    3.414214     169.095453     17.127452     12.340512     0.500000     489.500000     35.557657     13.122819          a
49    2.000000     219.095453     21.145322     14.574650     2.000000     668.000000     50.068612     17.656640          a
50    5.656854     207.480228     21.682399     15.981020     2.000000     671.500000     51.526574     19.486034          a
51    3.414214     250.066015     23.683779     17.288529     0.500000     670.500000     55.363915     20.602775          a
52    5.414214     205.965510     16.596471     14.125440     1.500000     351.000000     23.890514     13.033547          a
53    4.000000     266.793937     21.241207     18.477522     12.500000     606.000000     36.235271     20.548943          a
54    2.000000     249.379723     23.753084     15.749163     1.000000     674.500000     52.719863     20.299083          a
55    2.000000     145.296463     15.898683     13.632059     1.500000     265.500000     21.146704     11.261784          a
56    2.000000     199.923880     16.730723     14.410763     2.000000     264.000000     21.746812     11.747488          a
57    5.414214     197.923880     17.742046     14.653611     1.500000     264.000000     21.519080     11.806413          a
58    2.828427     249.379723     21.637421     15.039314     2.000000     466.500000     44.434442     18.479825          a
59    4.828427     249.379723     24.673285     16.432664     1.000000     672.500000     54.627243     21.034373          a
60    4.828427     321.806129     27.575481     17.332412     2.000000     813.500000     68.732651     25.550912          a
61    2.000000     344.291411     28.083392     17.294128     2.000000     672.500000     60.212786     22.641642          a
0    5.656854     339.060962     33.929656     19.461678     2.000000     1911.500000     118.135286     34.270291          b
1    5.656854     368.232535     35.682040     20.962066     2.000000     1909.500000     105.396688     35.024502          b
2    2.000000     398.492422     38.940296     21.917907     2.000000     5438.500000     233.528063     45.440808          b
3    2.000000     367.646749     34.437709     20.508231     2.000000     1903.000000     110.193665     35.677789          b
4    5.656854     852.766587     37.358625     19.291533     2.000000     3274.500000     150.224664     32.911024          b
5    5.656854     339.889389     33.006417     19.819534     2.000000     1911.500000     105.059392     32.904720          b
6    5.656854     852.766586     40.830963     20.462265     2.000000     3271.500000     162.287215     35.960938          b
7    4.000000     427.764499     32.873619     20.913414     2.000000     3225.000000     124.124130     35.237347          b
8    2.000000     310.291411     31.403478     20.769663     8.500000     1022.000000     86.560156     34.143927          b
9    3.414214     368.232535     31.777240     21.093599     2.000000     1031.500000     85.511733     34.459157          b
10    2.000000     160.166521     13.977730     12.144393     0.500000     377.000000     25.486180     11.837601          b
11    5.656854     338.190905     34.152484     19.440990     2.000000     1907.500000     108.642179     32.562007          b
12    2.000000     219.521859     13.316509     11.258181     1.000000     365.500000     23.658240     10.490819          b
13    2.000000     140.610172     12.615796     10.743915     0.000000     283.500000     22.251111     10.006786          b
14    2.000000     187.823374     14.266019     11.229038     0.000000     426.000000     27.102694     11.278218          b
15    2.000000     236.066015     17.191605     12.542523     2.000000     669.500000     36.965362     14.322581          b
16    2.000000     219.521859     13.167504     11.071786     0.000000     365.500000     24.090301     10.382154          b
17    5.656854     218.936072     12.258234     10.774511     2.000000     366.000000     21.774187     9.879638          b
18    3.414214     160.166521     13.452420     11.852844     0.500000     324.000000     25.007390     11.660055          b
19    5.656854     209.865005     13.613676     11.089715     2.000000     388.500000     25.444318     10.653628          b
20    2.000000     146.267025     12.033716     10.638878     2.000000     349.000000     21.567384     9.678112          b
21    2.000000     336.107645     25.010598     16.993666     0.000000     684.000000     55.442900     22.652041          b
22    2.000000     368.232535     29.802580     19.419998     2.000000     1032.500000     84.099344     31.515259          b
23    11.414214     221.379723     19.683190     14.512026     3.500000     437.500000     41.631340     17.793934          b
24    4.828427     204.894442     19.960923     14.097944     0.000000     527.000000     38.334404     16.263380          b
25    2.000000     315.237588     21.131948     14.325052     0.000000     472.500000     38.707467     16.407088          b
26    0.000000     315.237588     20.268018     14.634054     0.000000     459.000000     35.737104     16.630769          b
27    2.000000     334.936072     22.467968     15.629561     32.000000     682.500000     46.293151     19.184288          b
28    2.000000     237.438599     17.899421     13.935280     5.000000     439.500000     32.225028     15.571570          b
29    5.656854     227.865004     18.615871     13.522216     2.000000     431.000000     35.641851     15.365385          b
30    5.656854     202.308656     17.049320     12.832343     2.000000     331.000000     30.688425     13.801738          b
31    4.000000     315.237588     19.758722     13.830201     2.000000     344.500000     34.248734     15.238385          b
32    5.656854     316.066015     19.291863     13.651336     2.000000     510.000000     33.562523     14.629874          b
33    5.656854     428.592926     31.445415     19.975183     2.000000     3228.000000     124.221300     34.051937          b
34    2.000000     233.965510     17.135164     12.647575     2.000000     509.000000     29.297328     12.708148          b
35    5.656854     240.367531     19.010926     12.999454     2.000000     509.000000     31.421056     13.142192          b
36    2.000000     205.722870     17.050951     12.695444     2.000000     528.500000     30.829624     13.155582          b
37    2.000000     261.178713     16.592892     12.726989     2.000000     338.500000     27.225207     12.833720          b
38    4.000000     264.007140     18.168998     13.466323     1.000000     315.500000     28.475895     13.728740          b
39    2.000000     329.279218     18.953472     13.611536     0.500000     671.000000     37.060531     15.123994          b
40    5.656854     592.801077     22.813432     15.249303     2.000000     867.500000     35.587692     16.251244          b
41    2.000000     159.379724     16.644015     13.093162     2.000000     271.000000     26.661272     13.319321          b
42    2.000000     313.823375     17.720050     12.412753     13.500000     508.500000     30.976806     12.750341          b
43    2.000000     314.651802     16.593204     12.499585     1.500000     445.000000     29.268278     12.955143          b
44    2.000000     427.764499     29.748433     19.149110     2.000000     3227.000000     119.172647     32.018488          b
45    5.656854     219.965510     17.253920     13.477319     2.000000     431.000000     32.434596     15.086945          b
46    2.000000     315.237588     20.716400     14.656170     4.000000     538.500000     36.121050     16.509319          b
47    2.000000     590.315796     22.801727     14.051725     197.500000     866.500000     34.749123     14.120940          b
48    2.000000     284.048770     22.460942     19.344882     2.000000     456.000000     37.826230     23.011426          b
49    2.000000     270.450791     22.405160     19.011644     127.000000     457.500000     38.249878     22.080070          b
50    2.000000     163.781744     20.002863     16.971960     1.000000     331.000000     33.846028     18.553813          b
51    6.828427     184.267026     18.080508     14.436623     1.000000     395.000000     28.804747     13.431727          b
52    10.242641     308.977702     24.047914     20.648255     4.500000     518.500000     40.451566     24.917607          b
53    2.000000     184.409161     18.876162     16.854875     2.500000     443.000000     31.322267     18.376538          b
54    2.000000     204.409161     18.755416     15.765288     6.000000     444.500000     30.618353     16.253384          b
55    2.000000     263.279218     25.937478     18.125686     2.000000     766.500000     66.833609     26.689005          b
56    2.000000     184.267026     17.921103     14.102476     4.000000     333.500000     27.569633     12.967079          b
57    2.000000     184.267026     17.810699     13.836570     1.500000     444.000000     29.063598     12.992743          b
58    5.656854     311.220343     22.264432     17.986326     2.000000     518.000000     36.474982     20.369472          b
59    4.000000     184.409161     18.219671     13.995909     1.000000     443.000000     30.181050     14.001490          b
60    12.242641     171.681239     16.256686     12.375017     6.500000     441.000000     26.377203     11.374224          b
61    6.828427     306.534051     17.230218     12.390106     2.000000     574.000000     28.578460     11.123816          b
62    0.000000     307.119838     16.429263     10.922538     0.000000     575.500000     25.127531     8.953912          b
63    0.000000     306.534051     15.579849     10.583029     0.000000     574.000000     23.828881     8.540430          b
64    2.000000     129.497474     13.091275     9.901671     1.500000     343.500000     19.066114     7.603889          b
65    2.000000     145.539104     15.452132     10.967289     1.500000     668.500000     27.722351     9.798733          b
66    5.656854     851.352373     34.541951     18.684994     2.000000     3272.000000     115.223847     29.519865          b
67    2.000000     147.781744     15.858603     12.483720     22.000000     668.500000     27.430099     11.826109          b
68    4.000000     194.894441     16.421674     12.640689     0.000000     669.500000     29.268599     12.050300          b
69    7.414214     278.977702     18.950761     15.317285     2.500000     492.500000     30.907310     16.046667          b
70    5.656854     167.539104     18.209718     16.005645     2.000000     299.000000     29.665072     16.932405          b
71    2.000000     146.367531     15.742994     12.079311     0.500000     669.500000     27.382316     11.343686          b
72    2.000000     203.923880     19.480628     16.640232     0.000000     444.500000     32.011233     17.999196          b
73    2.000000     264.107645     24.447829     21.903722     1.500000     462.000000     37.688756     24.704323          b
74    4.000000     188.752307     20.920863     18.269717     3.500000     353.000000     29.396761     18.124900          b
75    3.414214     189.823375     18.441585     15.841204     0.500000     230.000000     24.821534     14.623871          b
76    2.000000     673.210237     26.962203     20.530391     67.500000     584.000000     37.080211     22.032158          b
77    5.656854     853.109733     40.836924     20.564047     2.000000     3274.500000     161.979883     36.396734          b
78    4.000000     189.823375     21.113912     17.899957     0.000000     353.000000     28.865175     17.402697          b
79    0.000000     676.038664     24.607414     17.496893     0.000000     582.000000     30.378034     16.977929          b
80    2.000000     242.693432     19.324398     14.958009     1.000000     261.500000     24.805305     13.208644          b
81    5.656854     668.724956     24.223480     16.240058     2.000000     584.000000     31.269295     15.789672          b
82    2.000000     226.551296     20.768331     15.022921     0.000000     325.500000     31.052763     14.797905          b
83    4.000000     226.308656     20.218771     14.307376     1.000000     370.000000     29.062973     13.451859          b
84    2.000000     173.923880     15.707039     12.471519     0.000000     154.500000     16.066872     8.582359          b
85    10.828427     187.338093     18.695146     14.327310     4.000000     333.500000     28.463081     13.996793          b
86    2.000000     672.624450     24.487113     17.335225     7.000000     582.500000     31.029859     17.017426          b
87    4.000000     224.551296     20.069800     14.280099     3.000000     372.500000     27.929582     13.051893          b
88    2.000000     428.592926     33.273513     20.904369     2.000000     3227.000000     125.856383     35.101534          b
89    2.000000     669.796023     22.387830     14.203639     3.500000     586.500000     25.031411     11.638473          b
90    4.000000     303.220343     20.379812     15.933819     2.000000     272.000000     26.943056     14.796755          b
91    2.000000     230.793937     19.124009     13.703228     0.500000     370.000000     24.392403     11.551332          b
92    4.000000     669.796023     22.514150     14.325521     2.000000     586.500000     25.193876     11.800153          b
93    7.414214     214.208151     19.259787     14.974382     2.500000     366.500000     30.010721     15.416899          b
94    4.828427     658.967596     23.021315     14.647821     1.000000     585.500000     25.749586     12.144163          b
95    2.000000     236.693431     20.483285     14.703207     4.500000     347.500000     30.598093     14.290900          b
0    2.000000     174.509666     15.786315     12.975817     0.000000     391.500000     25.049191     11.853591          c
1    4.000000     129.195958     15.026187     12.224088     2.000000     246.000000     20.571283     10.051832          c
2    0.000000     94.811182     12.599604     10.812866     0.000000     235.500000     17.731107     8.477185          c
3    5.656854     140.468036     14.518865     12.585644     2.000000     212.000000     21.203821     11.105839          c
4    5.656854     209.823374     14.577497     10.171669     2.000000     408.000000     19.993549     7.378660          c
5    5.656854     240.350286     13.658227     9.674752     16.500000     354.500000     17.141607     6.168420          c
6    2.000000     135.438598     12.504516     9.377203     2.500000     138.500000     12.524429     5.463721          c
7    4.828427     141.438598     12.489954     9.054336     0.500000     265.500000     14.349493     5.328844          c
8    4.000000     196.409161     13.000443     9.585507     4.000000     374.500000     14.677926     5.808604          c
9    4.828427     114.710677     11.474836     8.425749     8.000000     233.500000     12.149266     4.643916          c
10    5.656854     152.752307     12.088325     9.596384     2.000000     359.500000     21.437816     8.691366          c
11    2.000000     175.681239     16.544376     13.471894     3.000000     372.000000     25.070860     12.082756          c
12    2.000000     231.279218     10.736865     8.922047     0.000000     564.000000     20.439056     7.481361          c
13    2.828427     134.509666     12.081155     10.085636     2.000000     309.000000     22.440899     9.136273          c
14    4.000000     158.852812     13.018660     10.300535     2.000000     460.000000     26.225220     9.899102          c
15    2.000000     241.823374     21.951257     15.997907     7.500000     363.000000     31.664126     15.284231          c
16    5.656854     215.965510     21.116713     16.355236     2.000000     557.000000     31.904187     15.366088          c
17    2.000000     307.379723     22.040530     14.828434     1.000000     1456.000000     58.024804     17.997636          c
18    5.414214     207.681239     21.550631     15.145433     1.500000     512.000000     45.401076     19.252894          c
19    9.656854     211.480228     22.617553     15.921196     7.000000     491.000000     51.953990     21.887663          c
20    3.414214     264.936072     27.998497     20.157058     0.500000     778.000000     69.349974     32.039201          c
21    0.000000     218.208151     19.787531     14.040136     0.000000     496.000000     39.619603     16.192541          c
22    12.485281     137.781745     15.616716     12.459035     6.000000     372.500000     22.315150     10.501017          c
23    5.656854     554.884337     26.933618     15.091949     2.000000     1386.500000     64.420032     20.244572          c
24    3.414214     263.279218     24.549206     16.541370     0.500000     780.000000     57.976626     23.452960          c
25    5.656854     414.658942     23.363779     14.316021     3.000000     1046.500000     52.171708     17.858805          c
26    5.656854     415.244728     24.715441     14.527312     2.000000     1046.000000     55.980825     18.421720          c
27    5.656854     477.286358     25.374266     13.602994     2.000000     1206.500000     59.458293     17.214233          c
28    5.656854     210.669047     18.896182     12.946326     2.000000     474.500000     36.924992     13.964981          c
29    5.656854     257.521859     19.219357     12.580064     2.000000     602.500000     40.261593     14.733702          c
30    2.000000     254.551296     18.860005     13.258639     2.000000     798.500000     37.358820     14.102368          c
31    3.414214     343.261973     19.381179     14.385877     0.500000     805.000000     35.202136     15.488171          c
32    91.112698     203.095453     19.637379     18.153633     291.000000     780.500000     41.813352     22.200138          c
33    17.071068     205.480229     17.279703     14.814964     5.500000     481.000000     27.281495     14.281347          c
34    4.000000     192.894442     16.910883     14.246305     2.000000     335.500000     29.741181     14.710280          c
35    2.000000     137.195958     16.597161     15.007361     2.000000     332.000000     28.783392     15.412639          c
36    2.000000     137.438598     15.965431     15.276631     2.000000     334.500000     27.937239     15.742410          c
37    2.000000     102.811182     13.732855     15.644981     16.000000     231.500000     23.703247     15.751473          c
38    5.656854     195.722869     15.675411     13.189471     2.000000     324.500000     27.305538     13.312669          c
39    5.656854     135.053823     16.927549     14.610329     94.000000     289.000000     28.904386     14.591837          c
40    5.656854     136.468036     14.777353     14.008442     2.000000     284.500000     21.872215     11.864608          c
41    5.656854     310.534051     22.437966     16.159168     1.000000     722.000000     45.476371     19.500000          c
42    0.000000     242.208151     19.819524     15.497099     0.000000     490.500000     26.797987     12.250486          c
43    2.000000     235.865005     17.913772     13.301127     3.000000     487.500000     20.675697     9.371036          c
44    0.000000     145.296463     15.148684     12.433347     0.000000     376.500000     23.524826     10.774722          c
45    8.828427     202.551296     17.325116     12.560991     3.500000     182.500000     16.437207     8.031908          c
46    3.414214     178.409161     16.733949     12.857553     0.500000     250.500000     18.655261     9.104766          c
47    4.828427     155.681239     15.420638     12.567234     2.000000     250.500000     19.321580     9.561671          c
48    4.828427     250.592926     19.031546     14.299960     1.000000     444.000000     30.516825     13.703050          c
49    3.414214     242.350286     21.547310     17.348062     0.500000     441.500000     37.550967     19.461070          c
50    6.828427     145.053823     17.053814     14.360679     1.000000     311.000000     28.514518     14.348325          c
51    2.000000     204.509666     16.052037     12.309616     0.000000     236.500000     18.853636     9.050043          c
52    4.828427     206.267026     16.825652     12.925530     1.000000     319.000000     19.696765     9.551342          c
53    7.656854     153.195958     15.528719     12.215180     1.000000     219.000000     16.679828     8.416771          c
54    6.828427     164.124890     16.133074     12.728503     3.000000     219.500000     17.736996     8.990074          c
55    5.656854     141.053823     15.071572     11.723540     2.000000     380.000000     23.439170     9.908629          c
56    4.828427     163.539104     16.100796     12.813830     0.000000     219.000000     18.053925     9.176653          c
57    3.414214     164.710677     17.032675     13.463346     0.500000     219.000000     19.708968     10.161267          c
58    17.071068     147.681239     12.426202     10.482779     6.500000     122.500000     12.087701     6.151393          c
59    5.656854     103.982755     12.263628     10.091589     2.000000     125.500000     12.471870     6.105556          c
60    2.000000     100.811182     13.010082     10.800887     2.000000     133.500000     13.819259     6.859529          c
61    2.000000     124.953317     13.569899     11.073500     16.000000     153.000000     14.120192     7.215437          c
62    18.485281     161.195958     15.693873     12.020303     19.000000     202.000000     16.413960     8.261676          c
63    2.000000     148.852812     14.869847     11.904159     1.500000     201.000000     17.123894     8.609436          c
64    5.656854     129.882250     14.407244     11.547852     2.000000     140.500000     15.977380     8.082270          c
65    5.656854     117.740114     14.608442     11.708298     2.000000     196.500000     16.403611     8.244220          c
66    2.828427     109.982755     15.091695     11.813424     1.000000     259.000000     23.907343     10.177523          c
67    2.000000     161.195958     15.289574     12.039476     24.000000     214.500000     16.401493     8.214424          c
68    10.828427     152.610172     14.646385     11.406500     1.000000     259.500000     15.824279     7.543750          c
69    2.000000     130.468036     13.060214     10.208707     2.500000     137.500000     12.564257     6.135545          c
70    2.000000     130.468036     13.831374     11.031293     5.500000     137.500000     13.819204     6.926676          c
71    5.656854     110.568542     13.985924     11.537208     2.000000     160.500000     14.675685     7.435256          c
72    2.000000     161.681239     14.208980     11.253862     0.000000     173.000000     14.739861     7.140434          c
73    5.414214     162.509666     16.312978     17.492795     0.000000     305.000000     26.766005     18.893525          c
74    5.656854     246.894442     17.891343     17.504396     2.000000     421.500000     30.460171     19.632585          c
75    2.000000     197.722869     16.741614     16.922240     2.000000     391.500000     29.278247     18.303945          c
76    2.000000     249.722870     23.439468     18.610981     4.500000     428.500000     43.129434     23.139265          c
77    5.656854     144.468036     14.478900     11.560576     2.000000     284.500000     23.075103     9.584039          c
78    2.000000     234.936072     20.125597     19.767059     2.000000     413.500000     34.927382     23.890128          c
79    4.000000     234.936072     22.020055     20.937323     3.000000     411.000000     38.414453     26.057930          c
80    4.000000     295.462983     23.163093     20.182843     1.000000     424.500000     40.366118     25.334941          c
81    10.242641     236.350285     19.677294     19.489717     3.000000     387.500000     33.069676     23.169849          c
82    5.656854     248.308656     18.655915     16.706422     2.000000     423.500000     32.522364     18.558908          c
83    3.414214     269.320849     22.993532     18.003677     2.000000     388.000000     33.233595     18.787970          c
84    3.414214     275.663994     20.609911     15.502845     0.500000     324.500000     27.208218     13.786190          c
85    4.828427     275.663994     19.914435     14.587010     1.500000     324.500000     24.952261     12.162067          c
86    15.071068     253.279218     22.576101     17.900730     11.500000     290.000000     30.416735     17.596502          c
87    2.000000     244.208150     20.376404     16.562878     0.000000     282.500000     26.403751     14.708350          c
88    0.000000     143.639609     16.477364     13.067378     0.000000     373.000000     27.333503     12.026683          c
89    0.000000     241.379723     19.857404     15.448690     0.000000     281.000000     24.504692     12.618089          c
90    4.000000     244.208150     19.477833     14.386142     1.000000     282.500000     22.034116     10.756889          c
91    3.414214     225.722869     16.171864     11.841960     0.500000     164.500000     15.498963     7.292205          c
92    2.000000     275.663994     20.980493     15.300707     4.000000     324.500000     25.925142     12.791071          c
