minimPerim   maximPerim   deviatiePerim    mediePerim   minimArie   maximArie   deviatieArie    medieArie  tip 
3365.435634     3365.435634     102.390549     18.368030     473179.000000     473179.000000     14057.238815     444.384276          a
5.656854     3586.413335     105.837284     16.368007     2.000000     470460.500000     13689.494660     416.964407          a
3315.452878     3315.452878     96.370509     15.291775     472179.500000     472179.500000     13468.746728     401.784609          a
2.000000     3116.759447     95.696364     14.126189     2.000000     473524.000000     14408.605109     451.031511          a
3022.776692     3022.776692     89.004509     12.839301     474407.500000     474407.500000     13863.275883     414.151282          a
5.656854     2880.308656     90.767901     11.987749     2.000000     474527.000000     14960.849322     478.222388          a
2.000000     3166.357426     90.119434     15.178212     2.000000     473003.000000     13139.478322     385.128571          a
5.656854     2987.504614     87.632790     15.711591     2.000000     474456.000000     13528.811808     408.251017          a
5.656854     3100.156415     91.688607     13.532419     2.000000     473389.000000     13910.903232     419.453328          a
2.000000     2875.781745     99.965371     11.892658     2.000000     474878.500000     16532.959312     581.384709          a
21.313708     3957.356547     81.268500     13.736192     17.000000     468137.000000     9321.992971     201.632487          a
2.000000     3092.676187     95.252419     12.766182     474179.000000     474179.000000     14550.342371     454.725730          a
2.000000     2955.279218     91.992972     11.852940     2.000000     474736.000000     14777.694665     466.640155          a
4.000000     2966.676187     91.547274     11.580758     2.000000     474587.000000     14631.963833     457.735490          a
13.071068     3774.378845     154.037388     23.704503     10.500000     461515.500000     17848.588948     755.852545          a
94.041630     3852.503736     144.631432     18.257033     346.500000     460495.000000     16685.155059     640.053876          a
13.071068     3433.903669     139.934579     21.871685     10.500000     470474.500000     18033.902416     750.890441          a
5.656854     10268.491328     275.977744     36.474972     1.500000     416246.500000     10863.944225     357.918597          a
5.656854     15177.639177     386.510254     33.799803     0.000000     383268.500000     9642.055923     308.022454          a
2.000000     17206.926746     464.789717     37.943583     1.000000     362831.500000     9724.341282     332.949390          a
60.384776     9572.224303     207.739352     23.627125     79.500000     431355.000000     9174.571459     236.214706          a
19.899495     3008.558436     68.159048     12.309795     14.500000     473717.000000     9383.832282     199.194662          a
68.727922     14048.875558     338.877790     30.811582     99.500000     411471.500000     9754.236957     291.112360          a
10.000000     13601.838980     355.802529     35.189840     15.000000     394869.000000     10120.367619     334.510506          a
2.000000     7426.887965     156.795577     20.614311     449160.000000     449160.000000     9178.903202     222.361529          a
5.656854     7751.657518     181.008689     24.865747     2.000000     447764.000000     9925.362936     269.640295          a
4.000000     10708.363474     266.327137     30.266094     426489.500000     426489.500000     10295.043560     308.908217          a
6.000000     5531.950683     128.247782     21.931300     2.000000     462019.500000     9931.478133     257.369917          a
7358.052400     7358.052400     195.639561     30.617135     454001.500000     454001.500000     11371.701935     359.180364          a
9668.535926     9668.535926     266.580056     34.796042     436123.500000     436123.500000     11615.687457     396.206738          a
5131.451122     5131.451122     127.333440     24.497117     460961.500000     460961.500000     10251.655338     281.172354          a
2.000000     7857.782408     210.060098     31.541865     443399.500000     443399.500000     11117.483218     353.023256          a
19.899495     4944.816565     117.305228     16.201639     29.500000     449803.000000     10341.777500     263.304336          a
2.000000     10613.853807     293.371461     35.602744     425304.500000     425304.500000     11348.760084     387.545552          a
10.000000     5287.818654     165.604632     32.267303     8.000000     459965.500000     13836.610443     480.372283          a
10.000000     6344.290865     209.488343     36.914591     451591.000000     451591.000000     14410.859517     540.983180          a
10.000000     6962.204638     234.668078     39.489850     449553.500000     449553.500000     14686.446499     570.041667          a
2.000000     6826.104133     237.945111     42.625610     455861.000000     455861.000000     15332.799938     622.874858          a
3.414214     5792.619729     192.891655     38.634110     461809.000000     461809.000000     14721.608720     557.039166          a
5.656854     4614.480561     151.986863     33.441040     2.000000     448356.500000     13908.665222     510.726660          a
6286.048224     6286.048224     211.293630     39.183183     448358.500000     448358.500000     14508.959768     563.585430          a
4.000000     6596.824915     221.140993     38.186417     2.000000     453509.000000     14706.207144     563.926842          a
2.000000     5672.578102     194.841923     38.900540     460.000000     456727.500000     14873.760734     580.102972          a
4.828427     3812.136205     87.407310     12.557471     1.000000     467359.000000     10161.447991     234.473522          a
2.000000     11180.974851     421.357220     57.052320     1.500000     296738.500000     10737.969434     590.924588          a
2.828427     13419.745615     495.265480     59.297109     0.500000     382447.000000     13970.915659     662.452603          a
0.000000     13353.076569     469.733628     55.915035     0.000000     398177.500000     13827.556269     620.707479          a
2.000000     11484.146425     375.213417     50.315439     4.000000     403113.500000     12869.268411     539.518858          a
2.000000     10095.892471     392.927297     56.851022     2.000000     249612.500000     9340.478480     589.469292          a
29.313708     16847.429275     606.470462     54.985150     32.000000     345202.000000     12373.821924     574.094750          a
2.000000     10510.814262     373.459497     50.327134     58.000000     396794.500000     13305.500027     590.264310          a
3.414214     13812.095902     464.168598     55.427894     4.000000     398581.500000     13196.218971     569.268640          a
2.000000     8232.656640     222.838221     31.600050     7.500000     430639.000000     11120.501475     358.180546          a
5.656854     4480.115994     143.757390     33.720036     1.000000     469004.000000     14562.946856     514.901544          a
5.414214     3039.102593     69.342148     12.099988     0.500000     473908.000000     9501.996258     202.913752          a
3.414214     6789.809755     239.611060     48.736100     0.500000     436784.000000     14810.087855     647.395282          a
2.000000     6943.275705     247.203541     46.476888     2.000000     440969.000000     14972.796919     646.932526          a
4.000000     5623.288774     195.089940     43.106302     454152.500000     454152.500000     14966.078496     619.704348          a
3496.915862     3496.915862     76.163452     11.807549     473044.000000     473044.000000     9326.956591     197.129277          a
3100.014280     3100.014280     64.863206     12.396339     473916.000000     473916.000000     9528.173293     204.348564          a
2.000000     3552.531085     83.367395     14.421322     2.000000     471614.500000     10819.407110     263.872828          a
