nrContururi   minimPerim   maximPerim   deviatiePerim    mediePerim   minimArie   maximArie   deviatieArie    medieArie  tip 
1155   2.000000     5079.250111     154.019922     36.295526     2.000000     463743.500000     13639.060622     482.319048          a
1007   2.000000     5891.933437     189.140696     39.307790     2.000000     459008.000000     14457.008447     543.029791          a
993   5.656854     5285.894772     172.687701     38.563683     2.000000     461161.000000     14628.338577     557.385196          a
1307   2.000000     4356.618520     123.788746     31.262054     2.000000     467773.500000     12933.401923     420.369931          a
1125   11.899495     4544.240884     139.848434     34.344890     9.500000     463133.500000     13802.793477     486.712444          a
1112   5.656854     4133.505822     128.393053     32.807052     2.000000     469188.500000     14065.091796     493.874101          a
1069   5.656854     4488.324145     144.011247     37.197542     2.000000     462984.500000     14156.690966     525.536483          a
1122   5.656854     4982.681571     153.873657     35.942588     2.000000     460648.500000     13748.598202     492.872995          a
1086   2.000000     5444.168938     169.123398     35.353146     2.000000     461743.000000     14006.663635     501.377993          a
1252   5.656854     4098.167730     118.926998     30.515674     1.000000     466545.500000     13179.991206     431.180911          a
1206   2.000000     8640.001870     261.026541     44.793982     5.000000     433541.500000     12489.240553     471.487148          a
1133   4472.074364     4472.074364     137.538632     33.570235     466632.500000     466632.500000     13858.603931     486.316417          a
1152   3.414214     4107.197167     125.380477     32.315928     0.500000     467608.500000     13772.615985     474.678385          a
1258   2.000000     4487.797234     129.461453     30.578238     1.000000     459676.000000     12955.488589     422.192766          a
369   2.000000     6506.290863     344.348552     56.236070     2.000000     436024.000000     22673.972746     1343.879404          a
341   2.000000     4947.846001     279.826478     56.773988     1.500000     451501.000000     24421.512439     1511.552786          a
393   2.000000     5420.688710     277.852443     50.546170     2.000000     436393.000000     21983.323582     1239.087786          a
1883   6.000000     3996.308107     143.641605     30.280569     60.500000     22525.500000     808.521374     93.745619          a
1962   18.828427     3106.688710     110.057031     26.685463     23.000000     16227.000000     653.670108     77.883792          a
1805   0.000000     1688.327110     95.687768     27.455713     0.000000     16047.000000     591.638115     79.556787          a
2165   6.000000     4175.001540     145.305318     28.066420     0.000000     30126.000000     905.978093     91.986374          a
1252   2.000000     7964.767249     236.157366     42.379560     2.500000     446428.500000     12620.228064     458.414936          a
2043   14.000000     3246.369949     115.695881     27.370145     94.000000     17344.000000     680.046061     79.850465          a
1944   31.313708     1702.569751     100.406936     27.376232     56.000000     16039.500000     604.448241     79.428755          a
2355   2.000000     4190.557889     144.777160     27.214554     4.500000     30130.500000     926.494931     91.922293          a
2155   2.000000     5991.838318     160.816848     27.425322     21.000000     30063.000000     929.885979     88.341531          a
2060   2.000000     3457.548663     120.965939     27.664532     1176.000000     21031.500000     759.673239     84.099272          a
2276   4.000000     5705.973312     165.955537     28.049144     8.000000     43743.500000     1053.893810     87.454965          a
2174   2.000000     4643.702113     153.164902     27.500144     0.500000     23170.000000     860.403684     84.340386          a
2083   2.000000     3033.617643     131.256526     27.340919     11.000000     21027.000000     772.549663     81.612578          a
2177   19.313708     4477.074697     154.344104     28.705301     4.000000     19534.000000     669.999573     78.786633          a
2106   2.828427     2931.024717     126.444640     27.925380     0.000000     13799.500000     531.401589     70.805556          a
1149   2.000000     7116.898070     226.645641     40.626316     14.000000     421096.000000     12436.464491     474.132724          a
2032   12.828427     2466.265270     117.053094     27.930859     4.000000     11931.500000     490.119435     67.997785          a
1594   2.000000     15945.248473     413.362092     41.533720     0.000000     393936.000000     9877.142460     332.488080          a
1358   2.000000     13484.314154     392.152401     44.781998     37.000000     357449.000000     9728.160023     379.643225          a
1291   2.000000     16081.155105     468.777961     45.807477     4.000000     338290.000000     9448.764793     381.731991          a
1173   2.000000     18256.660928     548.534462     49.106883     1.500000     329210.500000     9643.381809     406.655158          a
1265   57.455844     17725.447726     514.717222     48.012883     89.500000     380739.000000     10721.244944     413.166403          a
1537   2.000000     11487.734300     324.531428     42.669515     2.000000     372464.500000     9530.455230     350.410540          a
1217   17.656854     17493.977600     518.005881     48.776684     5.500000     346353.000000     9946.599935     395.954396          a
1327   9.071068     13075.762860     386.353965     44.794451     5.500000     359966.500000     9912.504105     395.098719          a
1285   2.000000     15567.878854     454.471788     46.088466     2.000000     338956.500000     9485.299646     385.618677          a
1294   2.828427     8255.027135     232.307880     37.895269     37.500000     424171.500000     11786.597628     402.782457          a
1397   6.828427     1754.836776     111.748463     32.430409     2.000000     7275.000000     446.995266     81.062992          a
