minimPerim   maximPerim   deviatiePerim    mediePerim   minimArie   maximArie   deviatieArie    medieArie  tip 
4267.446948     4267.446948     141.228328     35.161526     467697.500000     467697.500000     15070.248624     562.897609          a
4.000000     4419.731218     155.472670     38.281900     2.000000     465411.500000     15953.226184     633.587647          a
2.000000     3960.344355     145.106420     38.634141     2.000000     466227.500000     16422.619373     674.900000          a
5.656854     3746.094574     119.718842     30.697906     2.000000     469902.500000     14662.074827     517.889376          a
2.000000     4073.699694     140.221907     34.126028     2.000000     466269.000000     15594.918840     596.519037          a
3.414214     3742.118958     132.771536     33.311269     2.000000     470629.500000     16229.560594     634.386310          a
5.656854     3817.675308     133.885122     36.068966     2.000000     465774.000000     15667.364161     617.054360          a
5.656854     4199.523067     143.377419     35.023765     2.000000     467249.000000     15465.261741     594.197917          a
3.414214     4476.542400     156.234699     35.103045     0.500000     466632.000000     15903.836109     620.100000          a
2.000000     3671.851933     120.746636     30.147338     2.000000     468506.000000     15089.169488     543.515576          a
2.000000     5213.482643     181.052142     44.844331     14.000000     455829.000000     14250.815032     565.393451          a
3.414214     3956.077330     137.169268     33.344783     0.500000     468986.000000     15774.876313     605.935447          a
3.414214     3881.834689     132.999797     31.798395     6.000000     468873.500000     15673.914860     592.392058          a
5.656854     4070.209359     134.422672     30.587548     2.000000     461516.000000     14997.381174     544.083510          a
5.656854     5383.576011     318.607142     61.790601     2.000000     444717.000000     25849.689286     1699.871186          a
5.656854     4361.589082     276.319462     63.003969     2.000000     455909.500000     27850.240422     1923.447566          a
5.656854     4216.150484     250.871272     57.321137     2.000000     453117.000000     26118.163708     1699.536667          a
6.000000     6663.543941     247.913734     35.183488     2.000000     56203.000000     1891.130983     146.273262          a
2.000000     6019.755055     175.650789     27.695943     1.000000     48379.000000     1304.762459     103.873111          a
2.000000     4152.391367     156.047723     28.117723     2.000000     34790.500000     1050.100336     96.001675          a
3.414214     13366.540758     303.822319     29.823474     0.000000     117258.500000     2578.156346     126.356334          a
2.000000     4615.644990     160.553666     42.020206     0.500000     463472.000000     14262.275276     547.744318          a
2.000000     6184.590623     182.242755     29.424715     162.500000     53345.500000     1638.642495     117.783929          a
2.000000     4076.249232     163.258519     29.141529     1.500000     53340.500000     1552.862853     123.829821          a
2.000000     26799.507929     536.113798     29.155586     5.500000     207308.000000     4166.056626     131.577239          a
6.000000     6143.051519     222.195497     29.902510     0.000000     64500.500000     2010.743080     137.399106          a
2.000000     5553.356002     203.939371     30.362004     2.500000     39462.500000     1613.808146     132.821961          a
2.000000     11092.885663     314.903574     28.296229     0.500000     108839.500000     2964.954219     134.278302          a
2.000000     9353.313826     245.059331     28.414581     0.500000     66573.500000     2036.023430     138.519918          a
10.000000     8134.817231     228.970937     28.346236     0.000000     50256.000000     1620.719633     119.142078          a
2.000000     16990.574704     347.620747     27.745621     34.000000     167764.000000     3295.016826     120.553036          a
8.485281     9344.284388     239.346383     28.716402     991.000000     66840.500000     1679.719918     112.564624          a
2.000000     5984.644114     207.307847     41.492347     2.500000     431053.000000     13983.016723     566.180336          a
3153.576012     8134.817231     225.338319     28.606102     14292.000000     50256.000000     1373.990711     99.201851          a
5.656854     9087.673002     243.010449     37.702618     0.000000     435191.500000     10854.219992     351.153296          a
2.000000     10135.659932     295.321470     42.623332     2.000000     396157.000000     10850.970611     397.663043          a
2.000000     12189.699804     360.943522     45.082389     2.000000     382062.500000     10826.673313     414.174820          a
3.414214     12075.508903     385.558381     49.470527     5.000000     405143.500000     12145.854230     496.739910          a
59.112698     13791.451236     403.797677     46.209012     129.000000     416596.000000     11848.481269     438.240905          a
7.414214     9810.079201     259.533939     37.358195     2.500000     423495.500000     10675.708457     350.907937          a
14044.328435     14044.328435     420.820138     47.377945     406850.000000     406850.000000     11814.943948     452.406908          a
10.828427     10691.313823     316.140225     43.655923     2.000000     400525.500000     11191.716120     418.447348          a
2.000000     12358.462219     366.544905     45.344168     0.500000     398133.000000     11312.622480     429.770968          a
4.000000     6642.516259     206.401762     38.192741     104.000000     436188.000000     13415.137286     490.638731          a
2693.118081     3347.985177     194.983482     40.236266     38359.500000     44414.500000     2175.059937     237.443226          a
2.000000     7706.685198     261.874278     39.739023     692.500000     107610.000000     3412.824992     256.464070          a
2.000000     7717.998906     259.024944     41.747327     0.000000     107596.000000     3383.204313     280.583012          a
5.414214     4209.379176     217.061547     43.290971     1.500000     64216.000000     2592.080119     278.175339          a
2.000000     2674.372916     167.498965     37.309710     0.000000     38088.500000     1888.717351     224.146124          a
2.000000     3024.906967     167.846112     39.019535     8.000000     32429.500000     2037.182173     254.913497          a
29.556349     3864.394335     189.280295     41.723915     21.500000     63010.000000     2594.673682     276.730827          a
4.000000     5600.059536     251.412316     48.961159     1.000000     68599.000000     2821.573351     313.965771          a
2.000000     12885.943658     306.588648     34.080665     1.500000     274885.500000     6278.423866     226.873709          a
2.000000     9487.638512     279.622301     45.826209     308.000000     438830.500000     12288.672686     451.603529          a
30.142135     6752.849298     213.331224     41.643325     37.000000     447339.000000     13766.167585     514.604265          a
